stk1,stk2,flag,a,b
600590,703,0,0,0
600590,410,0,0,0
600590,520,0,0,0
600590,600039,0,0,0
600590,600138,0,0,0
600590,601318,0,0,0
600590,683,0,0,0
600590,300399,0,0,0
600590,300009,0,0,0
600590,600766,0,0,0
600590,600463,0,0,0
600590,600275,0,0,0
600590,600866,0,0,0
600590,852,0,0,0
600590,18,0,0,0
600590,600409,0,0,0
600590,2640,0,0,0
600590,768,0,0,0
600590,2420,0,0,0
600590,669,0,0,0
600590,601666,0,0,0
600590,600381,0,0,0
600590,2717,0,0,0
600590,2531,0,0,0
600590,600887,0,0,0
600590,2269,0,0,0
600590,600221,0,0,0
600590,603703,0,0,0
600590,600976,0,0,0
600590,600176,0,0,0
600590,983,0,0,0
600590,600136,0,0,0
600590,505,0,0,0
600590,600301,0,0,0
600590,600873,0,0,0
600590,600228,0,0,0
600590,600317,0,0,0
600590,300203,0,0,0
600590,39,0,0,0
600590,600606,0,0,0
600590,2,0,0,0
600590,600759,0,0,0
600590,2207,0,0,0
600590,600675,0,0,0
600590,959,0,0,0
600106,603989,0,0,0
600106,2431,0,0,0
600106,906,0,0,0
600106,601636,0,0,0
600106,603300,0,0,0
600106,2597,0,0,0
600106,877,0,0,0
600106,600569,0,0,0
600106,2636,0,0,0
600106,600520,0,0,0
600106,300344,0,0,0
600106,300323,0,0,0
600106,2307,0,0,0
600106,550,0,0,0
600106,910,0,0,0
600106,659,0,0,0
600106,517,0,0,0
600106,2391,0,0,0
600106,600197,0,0,0
600106,2461,0,0,0
600106,858,0,0,0
600106,601233,0,0,0
600106,603789,0,0,0
600106,600209,0,0,0
600106,55,0,0,0
600106,651,0,0,0
600106,600817,0,0,0
600106,837,0,0,0
600106,600537,0,0,0
600106,498,0,0,0
600106,709,0,0,0
600106,300306,0,0,0
600106,600231,0,0,0
600106,603528,0,0,0
600106,2329,0,0,0
600106,2198,0,0,0
600106,601800,0,0,0
600106,600779,0,0,0
600106,601225,0,0,0
600106,600481,0,0,0
600106,2573,0,0,0
600106,2247,0,0,0
600106,895,0,0,0
600106,2686,0,0,0
600106,601118,0,0,0
600106,600178,0,0,0
600106,600598,0,0,0
600106,2405,0,0,0
600106,600647,0,0,0
600106,601588,0,0,0
600106,2651,0,0,0
600106,600801,0,0,0
600106,2451,0,0,0
600106,761,0,0,0
600106,300480,0,0,0
600106,708,0,0,0
600106,2333,0,0,0
600106,603268,0,0,0
600106,928,0,0,0
600106,603686,0,0,0
600106,300161,0,0,0
600106,791,0,0,0
600106,300267,0,0,0
600106,300238,0,0,0
600106,600808,0,0,0
600106,300184,0,0,0
600106,601933,0,0,0
600106,626,0,0,0
600106,600260,0,0,0
600106,600068,0,0,0
600106,600432,0,0,0
600106,736,0,0,0
600106,600230,0,0,0
600106,878,0,0,0
600106,600297,0,0,0
600106,600162,0,0,0
