stk1,stk2,flag,a,b
600106,858,0,-0.1219299983058747,2.4783357727545945
600106,601233,1,-0.23354804572203655,1.745546478307846
600106,603789,0,0.01776481552700062,4.259790947966689
600106,600209,1,-0.10211381527881203,2.141753750439292
600106,55,1,-0.2972996172729228,1.1246515258910172
600106,651,1,-0.13495804840344158,2.4350836080083504
600106,600817,1,0.01335501395761654,2.686801509231638
600106,837,1,-0.25203693846885206,1.6322515149149763
600106,600537,1,-0.29831505118503965,1.0764771227635745
600106,498,1,-0.3237303226702082,0.8731246638210413
600106,709,1,-0.37020026094514985,0.4424375341334482
600106,300306,1,-0.14696920889464413,2.6446808867957152
600106,600231,1,-0.3753017478729897,0.35925682354656774
600106,603528,0,0,0
600106,2329,1,-0.243527963899448,1.8227824757761273
600106,2198,0,-0.26768263582081925,1.453193137602844
600106,601800,1,-0.1811496039724527,2.1048739014343236
600106,600779,0,-0.2952258053949635,1.0707157537858294
600106,601225,1,-0.33035298653054257,0.7871243149271291
600106,600481,1,-0.30263411538201757,1.0984280939737643
600106,2573,1,-0.22098027445993781,1.8941765686675913
600106,2247,1,-0.26990167579382274,1.3664800257743879
600106,895,0,-0.1507522381186228,2.410973038421899
600106,2686,1,-0.26212306675597075,1.5679798045190523
600106,601118,1,-0.32194899943087013,0.9035200240813359
600106,600178,1,-0.3022910708131775,1.1165781393150271
600106,600598,0,-0.25126616298849613,1.5505759959867933
600106,2405,1,-0.1544691947381815,2.5527531975883284
600106,600647,1,-0.1551287696360927,2.5497693855370733
600106,601588,1,-0.33996786231151,0.7009573540230813
600106,2651,1,-0.2915573361949793,1.3680890648891169
600106,600801,1,-0.30778588115952066,1.0438938151943018
600106,2451,0,-0.27597241910499254,1.3533150546292632
600106,761,0,-0.3443819699677474,0.6410792327817387
600106,300480,0,-0.6687716540903176,1.9727779887948418
600106,708,0,-0.2360614921640357,1.5319485402464432
600106,2333,1,-0.31818802191049567,0.9360239487211035
600106,603268,0,0.055319882107377184,4.740925904705069
600106,928,1,-0.1534670330833815,2.487411778598239
600106,603686,0,-0.07613210787296873,3.1398397565368406
600106,300161,1,-0.11944641766244166,2.6068673217816967
600106,791,1,-0.2860847157081862,1.2758667503466423
600106,300267,1,-0.25036822397316194,1.5254325254129357
600106,300238,1,0.055509490005707256,4.474504841888261
600106,600808,1,-0.35741796321407115,0.5157577481896782
600106,300184,1,-0.2635418299008313,1.7656290825911907
600106,601933,1,-0.35575500705215807,0.5512473785136429
600106,626,1,-0.06863380211999241,3.453592249777512
600106,600260,1,-0.25986107088994514,1.6082545883662405
600106,600068,1,-0.27001271265882126,1.346996790422792
600106,600432,1,-0.2632212301868671,1.5120875957544875
600106,736,1,-0.2870986240640884,1.2729819810834935
600106,600230,1,-0.2755924918522433,1.3643996810234584
600106,878,1,-0.15103573145831176,2.4490219731163494
600106,600297,1,-0.2819182403797187,1.2868641501714029
600106,600162,1,-0.34659441021228776,0.6277295612431568
600106,600489,1,-0.29998778884902016,1.0778024507264787
600106,601919,1,-0.29018267183577173,1.0362475796756865
600106,995,1,-0.0213524876927026,2.3453053542892963
600106,600583,1,-0.2880154459258268,1.2317247351159823
600106,2168,1,-0.2635216004021158,1.4550443414875571
600106,717,1,-0.34654483385106155,0.6530445337919568
600106,826,1,-0.022312032971535917,3.872268690453164
600106,639,1,-0.21934923253313404,1.8839577874554183
600106,585,1,-0.3469113581897045,0.6491166372573438
600106,881,1,-0.22722705011073874,1.4686283825325381
