stk1,stk2,a,b
600590,600980,0,0
600590,600015,0,0
600590,600089,0,0
600590,600383,0,0
600590,300360,0,0
600590,000611,0,0
600590,603077,0,0
600590,600104,0,0
600590,600010,0,0
600590,601898,0,0
600590,002422,0,0
600590,300313,0,0
600590,000980,0,0
600590,002672,0,0
600590,002430,0,0
600590,300577,0,0
600590,601998,0,0
600590,600559,0,0
600590,600054,0,0
600590,002387,0,0
600590,600262,0,0
600590,002343,0,0
600590,002334,0,0
600590,000089,0,0
600590,000778,0,0
600590,600820,0,0
600590,000429,0,0
600590,600495,0,0
600590,002155,0,0
600590,600468,0,0
600590,000622,0,0
600590,600755,0,0
600590,000889,0,0
600590,002174,0,0
600590,002456,0,0
600590,000612,0,0
600590,600393,0,0
600590,300278,0,0
600590,002246,0,0
600590,002036,0,0
600590,600885,0,0
600590,600234,0,0
600590,300089,0,0
600590,000627,0,0
600590,002719,0,0
600590,002266,0,0
600590,002416,0,0
600590,000595,0,0
600590,600200,0,0
600590,600765,0,0
600590,603800,0,0
600590,000625,0,0
600590,600038,0,0
600590,600076,0,0
600590,600050,0,0
600590,600769,0,0
600590,600202,0,0
600590,600375,0,0
600590,600720,0,0
600590,000968,0,0
600590,002209,0,0
600590,002134,0,0
600590,000605,0,0
600590,000576,0,0
600590,300294,0,0
600590,600332,0,0
600590,600693,0,0
600590,600608,0,0
600590,600376,0,0
600590,600279,0,0
600590,002595,0,0
600590,300364,0,0
600590,002202,0,0
600590,002653,0,0
600590,600120,0,0
600590,000589,0,0
600590,000929,0,0
600590,601012,0,0
600590,002657,0,0
600590,000937,0,0
600590,002530,0,0
600590,600069,0,0
600590,600265,0,0
600590,603008,0,0
600590,600295,0,0
600590,600811,0,0
600590,600643,0,0
600590,600064,0,0
600590,600299,0,0
600590,000426,0,0
600590,000831,0,0
600590,000613,0,0
600590,600739,0,0
600590,601872,0,0
600590,000909,0,0
600590,000333,0,0
600590,002755,0,0
600590,002478,0,0
600590,002242,0,0
600590,000999,0,0
600590,300016,0,0
600590,000739,0,0
600590,002217,0,0
600590,000860,0,0
600590,000581,0,0
600590,600121,0,0
600590,002484,0,0
600590,002210,0,0
600590,600798,0,0
600590,600036,0,0
600590,601818,0,0
600590,002435,0,0
600590,300228,0,0
600590,600666,0,0
600590,600298,0,0
600590,002434,0,0
600590,600565,0,0
600590,002271,0,0
600590,600547,0,0
600590,600081,0,0
600590,002702,0,0
600590,000663,0,0
600590,000546,0,0
600590,601518,0,0
600590,603025,0,0
600590,600449,0,0
600590,002046,0,0
600590,002723,0,0
600590,601669,0,0
600590,002288,0,0
600590,601992,0,0
600590,600823,0,0
600590,300408,0,0
600590,000797,0,0
600590,601069,0,0
600590,601566,0,0
600590,600467,0,0
600590,600098,0,0
600590,601169,0,0
600590,601888,0,0
600590,002323,0,0
600590,600267,0,0
600590,000628,0,0
600590,603609,0,0
600590,002310,0,0
600590,600122,0,0
600590,600335,0,0
