code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600129,太极集团,中成药,重庆,5.69,4.27,4.27,976633.69,517226.84,176929.02,21943.88,0.51,2.179,3.73,4.43,19971118,64576.25,1.51,5.85,358.8,29.75,16.27,53839
000417,合肥百货,百货,安徽,21.25,7.79,7.8,870922.69,464442.84,151306.27,30882.48,0.4,0.296,4.51,1.86,19960812,178272.81,2.29,1.13,6.01,19.91,3.14,40075
300129,泰胜风能,电气设备,上海,29.05,4.22,7.32,294727.47,192653.31,64857.46,70095.86,0.96,0.217,2.86,2.95,20101019,64045.71,0.88,-25.2,31.57,36.46,18.74,59961
002665,首航节能,电气设备,北京,118.01,15.41,19.71,445413.56,231632.16,52078.98,10656.24,0.05,0.054,1.45,5.82,20120327,69559.18,0.35,17.82,26.41,28.59,16.55,35641
002128,露天煤业,煤炭开采,内蒙,20.86,15.88,16.34,1350212.5,383764.72,710132.75,125532.26,0.77,0.304,5.65,1.5,20070418,550849.81,3.37,-4.32,57.94,33.64,13.46,46386
600736,苏州高新,园区开发,江苏,26.05,11.39,11.94,2035367.25,1438423.63,168361.42,179817.19,1.51,0.245,4.35,1.96,19960815,190961.73,1.6,176.97,336.4,21.9,5.93,68566
603188,亚邦股份,染料涂料,江苏,14.61,3.79,5.76,400058.0,201934.41,105059.27,118117.85,2.05,0.878,5.75,2.97,20140909,139287.19,2.42,-1.14,-6.17,50.74,27.73,36360
000600,建投能源,火力发电,河北,7.23,10.9,17.92,2766110.5,398910.78,1423318.25,440487.59,2.46,0.917,6.37,1.39,19960606,478985.81,2.67,-5.53,-6.25,41.48,24.21,53737
002572,索菲亚,家居用品,广东,45.14,2.89,4.62,487874.34,282955.66,104994.11,190954.88,4.14,0.92,7.8,6.82,20110412,110965.51,2.4,43.47,48.04,36.38,13.74,5833
600478,科力远,元器件,湖南,0.0,12.75,13.91,500336.56,203454.94,99717.11,12326.5,0.09,-0.086,1.0,9.19,20030918,-11014.51,-0.08,105.14,-4488.14,5.47,-9.42,50362
